YEAR,PPB
1984,1653
1985,1666
1986,1678
1987,1691
1988,1702
1989,1713
1990,1723
1991,1734
1992,1742
1993,1745
1994,1750
1995,1757
1996,1761
1997,1764
1998,1773
1999,1781
2000,1782
2001,1781
2002,1783
2003,1786
2004,1786
2005,1785
2006,1785
2007,1791
2008,1798
2009,1803
2010,1808
2011,1813
2012,1818
2013,1824
