YEAR,PPB
1980,300.6
1981,301.2
1982,302.6
1983,303.1
1984,303.6
1985,304
1986,304.9
1987,305.6
1988,306.5
1989,307.5
1990,308.6
1991,309.3
1992,309.9
1993,310.2
1994,310.8
1995,311.4
1996,312.1
1997,313.1
1998,313.9
1999,314.7
2000,315.6
2001,316.4
2002,317
2003,317.7
2004,318.4
2005,319.1
2006,320
2007,320.7
2008,321.6
2009,322.3
2010,323.1
2011,324.2
2012,325.1
2013,325.9
